sid,Date,Open,High,Low,4. close,Volume
105,8/19/2019,306.25,311.75,304.75,309.380005,4942200
105,8/20/2019,304.570007,305,297.679993,298.98999,7349900
105,8/21/2019,301.609985,302.880005,296.200012,297.809998,5685400
105,8/22/2019,298.649994,300.329987,293.149994,296.929993,4974200
105,8/23/2019,295,299.01001,290.320007,291.440002,6324900
105,8/26/2019,295.23999,296.950012,292.5,294.980011,4695700
105,8/27/2019,294.540009,296.769989,287.200012,291.029999,6309400
105,8/28/2019,289.470001,292.820007,287.75,291.769989,3955700
105,8/29/2019,295,299.929993,294.98999,296.779999,4388500
105,8/30/2019,298.779999,298.940002,290.850006,293.75,4446400
105,9/3/2019,290.820007,293.899994,288.059998,289.290009,3682800
105,9/4/2019,291.25,292.380005,286.51001,291.519989,4652500
105,9/5/2019,285.320007,293.970001,282.790009,293.25,8966800
105,9/6/2019,293.350006,293.350006,287.029999,290.170013,5166600
105,9/9/2019,294.809998,301.549988,290.600006,294.339996,8232700
105,9/10/2019,291.160004,297.170013,282.660004,287.98999,12320200
105,9/11/2019,285.700012,292.649994,284.609985,288.269989,7405900
105,9/12/2019,288.100006,292.730011,286.600006,288.859985,5010900
105,9/13/2019,290.609985,296.619995,290.040009,294.149994,6583100
105,9/16/2019,294.230011,297.429993,289.779999,294.290009,5307400
105,9/17/2019,294.5,299.149994,291.790009,298.600006,4777100
105,9/18/2019,294.98999,296.049988,287.450012,291.559998,7811100
105,9/19/2019,291.559998,293.809998,283.399994,286.600006,8461300
105,9/20/2019,280.26001,282.5,266,270.75,23832800
105,9/23/2019,268.350006,273.390015,261.890015,265.920013,13478600
105,9/24/2019,262.5,265,252.279999,254.589996,16338200
105,9/25/2019,255.710007,266.600006,253.699997,264.75,11643800
105,9/26/2019,266.420013,268.049988,260.200012,263.309998,7684000
105,9/27/2019,266.179993,267.440002,260.390015,263.079987,7328300
105,9/30/2019,264,268.880005,262.779999,267.619995,6727200
105,10/1/2019,267.350006,272.200012,264.029999,269.579987,8650300
105,10/2/2019,263.609985,269.350006,262.190002,268.029999,7659100
105,10/3/2019,267.779999,268.839996,257.01001,268.149994,8951000
105,10/4/2019,268.200012,275.480011,266.470001,272.790009,9890400
105,10/7/2019,271.98999,276.679993,271.279999,274.459991,6525600
105,10/8/2019,273.029999,275.529999,270.640015,270.720001,6276400
105,10/9/2019,270.019989,271,264.570007,267.529999,6794400
105,10/10/2019,265.970001,280.529999,265.029999,280.480011,10809100
105,10/11/2019,284.799988,287.869995,282.339996,282.929993,8786100
105,10/14/2019,283.929993,286.929993,282,285.529999,5513200
105,10/15/2019,283.820007,285.869995,279.399994,284.25,7685600
105,10/16/2019,283.119995,288.170013,280.73999,286.279999,16175900
105,10/17/2019,304.48999,308.75,288.299988,293.350006,38258900
105,10/18/2019,289.359985,290.899994,273.359985,275.299988,23429900
105,10/21/2019,272.890015,279.940002,269,278.049988,12599200
105,10/22/2019,271.160004,275.410004,265.799988,266.690002,11802400
105,10/23/2019,268.059998,273.920013,266.630005,271.269989,7133500
105,10/24/2019,271.809998,274.019989,268.799988,271.5,4827400
105,10/25/2019,270.679993,277.769989,270.179993,276.820007,4747800
105,10/28/2019,278.049988,285.75,277.350006,281.859985,6248400
105,10/29/2019,281.869995,284.410004,277.549988,281.209991,4356200
105,10/30/2019,284.339996,293.48999,283,291.450012,9345600
105,10/31/2019,291,291.450012,284.779999,287.410004,5090000
105,11/1/2019,288.700012,289.119995,283.019989,286.809998,5594300
105,11/4/2019,288,295.390015,287.160004,292.859985,5566200
105,11/5/2019,289.98999,291.190002,286.309998,288.029999,4062400
105,11/6/2019,288.190002,290.559998,285.839996,288.589996,3438300
105,11/7/2019,290.700012,298.190002,288.269989,289.570007,5928500
105,11/8/2019,288.730011,293.98999,287.51001,291.570007,4509000
105,11/11/2019,289.160004,296.359985,288.5,294.179993,3944300
105,11/12/2019,295.320007,295.350006,288.700012,292.01001,5772800
105,11/13/2019,291.029999,293.410004,281.140015,283.109985,9158900
105,11/14/2019,283.25,290.630005,283.220001,289.619995,6529000
105,11/15/2019,290.589996,295.820007,287.570007,295.029999,6333800
105,11/18/2019,296,304.98999,293.279999,302.570007,8616600
105,11/19/2019,304.01001,305.670013,298.519989,302.600006,5918000
105,11/20/2019,301.01001,308.25,301,305.160004,5111800
105,11/21/2019,306,312.690002,304.26001,311.690002,7488400
105,11/22/2019,309.100006,311.399994,304.410004,310.480011,5970100
105,11/25/2019,308.829987,315.730011,305.25,315.549988,7873900
105,11/26/2019,315,316.5,311.690002,312.48999,5321000
105,11/27/2019,313.929993,316.820007,312.75,315.929993,4096900
105,11/29/2019,315.779999,316.619995,313.339996,314.660004,2411700
105,12/2/2019,314.390015,314.390015,303.75,309.98999,6218800
105,12/3/2019,302.220001,307.359985,301.880005,306.160004,4992800
105,12/4/2019,308.429993,308.429993,303.269989,304.320007,3512100
105,12/5/2019,305.269989,306.480011,298.809998,302.859985,4615500
105,12/6/2019,304.700012,307.850006,302.600006,307.350006,4457800
105,12/9/2019,307.350006,311.48999,302.440002,302.5,5748400
105,12/10/2019,296.119995,298.940002,292.019989,293.119995,10476100
105,12/11/2019,294.48999,299.429993,294.200012,298.929993,5589800
105,12/12/2019,295.670013,299.170013,295.059998,298.440002,4766600
105,12/13/2019,298.5,301.799988,297.25,298.5,3879700
105,12/16/2019,300.850006,305.709991,298.630005,304.209991,4658900
105,12/17/2019,307.359985,316.799988,306.600006,315.480011,10427100
105,12/18/2019,316.26001,325.359985,315.600006,320.799988,11207400
105,12/19/2019,324.5,332.829987,324.179993,332.220001,9822300
105,12/20/2019,335,338,330.600006,336.899994,9914900
105,12/23/2019,337.76001,337.950012,331.019989,333.100006,5765300
105,12/24/2019,334.01001,335.700012,331.600006,333.200012,2019300
105,12/26/2019,334.600006,336.459991,332.01001,332.630005,3589900
105,12/27/2019,332.959991,333.820007,326.01001,329.089996,5036100
105,12/30/2019,329.079987,329.190002,322.859985,323.309998,4311500
105,12/31/2019,322,324.920013,321.089996,323.570007,3713300
105,1/2/2020,326.100006,329.980011,324.779999,329.809998,4485800
105,1/3/2020,326.779999,329.859985,325.529999,325.899994,3806900
105,1/6/2020,323.119995,336.359985,321.200012,335.829987,5663100
105,1/7/2020,336.470001,336.700012,330.299988,330.75,4703200
105,1/8/2020,331.48999,342.700012,331.049988,339.26001,7104500
105,1/9/2020,342,343.420013,334.609985,335.660004,4709300
105,1/10/2020,337.130005,338.5,327.269989,329.049988,4718300
105,1/13/2020,331.799988,340.850006,331.51001,338.920013,6290000
105,1/14/2020,344.399994,345.380005,335.519989,338.690002,7199400
105,1/15/2020,338.679993,343.170013,336.600006,339.070007,5158000
105,1/16/2020,343.5,343.559998,335.850006,338.619995,5016000
105,1/17/2020,341,341.570007,337.380005,339.670013,6066500
105,1/21/2020,340,341,332.589996,338.109985,14350300
105,1/22/2020,332.549988,336.299988,323.600006,326,21730000
105,1/23/2020,326.040009,349.880005,325.01001,349.600006,18200300
105,1/24/2020,348.459991,359.850006,345.880005,353.160004,17939700
105,1/27/2020,345.950012,351.899994,341.019989,342.880005,7709500
105,1/28/2020,345.880005,352.399994,342.779999,348.519989,6821600
105,1/29/2020,349,349.399994,338.549988,343.160004,7643500
105,1/30/2020,341.100006,348.200012,339.25,347.73999,5328100
105,1/31/2020,347.390015,347.390015,340.980011,345.089996,5230000
105,2/3/2020,347.23999,359.630005,346.279999,358,6674900
105,2/4/2020,361,369.570007,356.100006,369.01001,7161500
105,2/5/2020,375.130005,375.25,362.299988,369.670013,6437000
105,2/6/2020,369.600006,371.549988,362.51001,366.950012,3920400
105,2/7/2020,365.040009,371.799988,363.570007,366.769989,4385200
105,2/10/2020,365,374.799988,362.519989,371.070007,5294100
105,2/11/2020,373.75,378.109985,369.720001,373.690002,4772900
105,2/12/2020,377.179993,380.619995,375.880005,380.01001,4624800
105,2/13/2020,376.959991,385.369995,376.51001,381.399994,4485400
105,2/14/2020,381.470001,385.149994,379.429993,380.399994,3736300
105,2/18/2020,379.299988,389.540009,379.190002,387.779999,5173900
105,2/19/2020,388.119995,392.950012,384.899994,386.190002,4896400
105,2/20/2020,386.559998,389.700012,376.679993,386,4079400
105,2/21/2020,385.329987,387.320007,377.899994,380.070007,3930100
105,2/24/2020,364.76001,372.820007,361,368.700012,6936400
105,2/25/2020,372,375.649994,357.720001,360.089996,6481200
105,2/26/2020,366.309998,382,365,379.23999,8934100
105,2/27/2020,371.459991,391.559998,370.600006,371.709991,10967700
105,2/28/2020,364.209991,376.769989,356.799988,369.029999,11178600
105,3/2/2020,373.109985,381.359985,364.5,381.049988,6997900
105,3/3/2020,381.029999,393.519989,367.399994,368.769989,8364600
105,3/4/2020,377.769989,384.01001,370.51001,383.790009,5487300
105,3/5/2020,381,391.399994,368.640015,372.779999,8747000
105,3/6/2020,367.700012,371.309998,356.850006,368.970001,8147200
105,3/9/2020,343.859985,357.470001,341.720001,346.48999,7405500
105,3/10/2020,356.429993,364.540009,347.850006,364.130005,7604400
105,3/11/2020,358.920013,362.980011,344.790009,349.920013,6036000
105,3/12/2020,326.5,335.720001,307.320007,315.25,12071600
105,3/13/2020,330.51001,336.420013,307.390015,336.299988,9458200
105,3/16/2020,306.630005,334.350006,294.75,298.839996,10559900
105,3/17/2020,306.190002,322.899994,290.25,319.75,10013900
105,3/18/2020,302.399994,331.579987,300,315.470001,12593600
105,3/19/2020,324.329987,348.51001,316.820007,332.029999,10616000
105,3/20/2020,342.309998,350.48999,332,332.829987,10853800
105,3/23/2020,347.890015,366.109985,340.880005,360.269989,13449400
105,3/24/2020,369.98999,372.929993,353.029999,357.320007,11623700
105,3/25/2020,361.019989,362,346.119995,346.165009,6578963
